Question,A3QLGMZOLGMBQ1: QuizA,A3QLGMZOLGMBQ1: QuizB,ALEJV7D94ZLHF: QuizA,ALEJV7D94ZLHF: QuizB,A4J4GGMKJ68L0: QuizA,A4J4GGMKJ68L0: QuizB,AA4KKLIU4C3NY: QuizA,AA4KKLIU4C3NY: QuizB,A37S96RT1P1IT2: QuizA,A37S96RT1P1IT2: QuizB,A1ZN6V0PU8VVAH: QuizA,A1ZN6V0PU8VVAH: QuizB,A193D9OQUVFSVT: QuizA,A193D9OQUVFSVT: QuizB,5955a3eb98c9c400019f5c5f: QuizA,5955a3eb98c9c400019f5c5f: QuizB,A2JP9IKRHNLRPI: QuizA,A2JP9IKRHNLRPI: QuizB,A3OW5EFQ5QFD19: QuizA,A3OW5EFQ5QFD19: QuizB
0,,,,,,,iconoclastic,iconoclastic,meritless,meritless,meritless,meritless,blithe,blithe,inveterate,inveterate,meritless,meritless,meritless,meritless
1,,,,,,,head,head,tongue,tongue,,,,,,,,,,
2,,,,,,,,gibberellins,,,,,sporozoans,sporozoans,sporozoans,sporozoans,,,,
3,,,,,,,Sound Level Meter,Sound Level Meter,Sound Level Meter,Sound Level Meter,Service Lifecycle Management,Service Lifecycle Management,Service Lifecycle Management,Service Lifecycle Management,,,,,,
4,dubious,dubious,,dubious,dubious,dubious,dubious,dubious,solvent,solvent,dubious,dubious,dubious,dubious,dubious,prosperous,,,dubious,dubious
5,,,,,,,genetic variation,genetic variation,,,,,genetic variation,genetic variation,genetic variation,genetic variation,genetic variation,genetic variation,genetic variation,genetic variation
6,,,,,Wash the wound with soap,Wash the wound with soap,,Wash the wound with soap,Wash the wound with soap,Wash the wound with soap,,,,,,,Wash the wound with soap,Wash the wound with soap,Wash the wound with soap,Wash the wound with soap
7,sycophants,sycophants,benefactors,benefactors,,,benefactors,benefactors,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,pedants,pedants,,
8,,,systematic,,random,random,systematic,systematic,systematic,systematic,inexact,inexact,systematic,systematic,systematic,systematic,systematic,systematic,,
9,,,,,copper,copper,copper,copper,calcium,calcium,aluminum,aluminum,aluminum,aluminum,,,aluminum,,aluminum,aluminum
10,static,static,,transient,static,static,static,static,static,static,,,static,static,static,static,static,static,static,static
11,pterodactyl,,California condor,California condor,,,,,California condor,California condor,,,peregrine falcon,California condor,,,,,,California condor
12,,,,,,,iconoclastic,iconoclastic,meritless,meritless,meritless,meritless,blithe,blithe,inveterate,inveterate,meritless,meritless,meritless,meritless
13,"v, iv, iii, i, ii","v, iv, iii, i, ii",,,"v, iv, iii, i, ii","v, iv, iii, i, ii","iv, i, iii, v, ii","iv, i, iii, v, ii","v, iv, iii, i, ii","v, iv, iii, i, ii",,"v, iv, iii, i, ii","iv, i, iii, v, ii","v, iv, iii, i, ii",,,"i, ii, iii, iv, v",,,
14,,,,,,,,gibberellins,,,,,sporozoans,sporozoans,sporozoans,sporozoans,,,,
15,True,True,,,True,,,,False,False,False,False,True,True,False,,True,True,,
16,,,,,,,Sound Level Meter,Sound Level Meter,Sound Level Meter,Sound Level Meter,Service Lifecycle Management,Service Lifecycle Management,Service Lifecycle Management,Service Lifecycle Management,,,,,,
17,True,True,True,True,True,True,False,False,True,True,False,False,True,True,,,True,True,False,False
18,dubious,dubious,,dubious,dubious,dubious,dubious,dubious,solvent,solvent,dubious,dubious,dubious,dubious,dubious,prosperous,,,dubious,dubious
19,,,,,,,,,,,birds,birds,birds,birds,birds,birds,,,birds,birds
20,,,,,,,genetic variation,genetic variation,,,,,genetic variation,genetic variation,genetic variation,genetic variation,genetic variation,genetic variation,genetic variation,genetic variation
21,,,,,Wash the wound with soap,Wash the wound with soap,,Wash the wound with soap,Wash the wound with soap,Wash the wound with soap,,,,,,,Wash the wound with soap,Wash the wound with soap,Wash the wound with soap,Wash the wound with soap
22,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,,
Insistent Answers,1,,4,,1,,4,,0,,1,,2,,3,,2,,1,
