Question,592e85797b619d0001cb07e9: QuizA,592e85797b619d0001cb07e9: QuizB,5622e52ded6e5a0005c8007b: QuizA,5622e52ded6e5a0005c8007b: QuizB,545cccd0fdf99b75ad2e325a: QuizA,545cccd0fdf99b75ad2e325a: QuizB,59fffb060fff620001a6b659: QuizA,59fffb060fff620001a6b659: QuizB,57560a99947a3d0007b545bf: QuizA,57560a99947a3d0007b545bf: QuizB,5af514d386fd9c0001664c92: QuizA,5af514d386fd9c0001664c92: QuizB,5806dbbd47d0b60001165def: QuizA,5806dbbd47d0b60001165def: QuizB,58a7256e9a17120001d91a3a: QuizA,58a7256e9a17120001d91a3a: QuizB,59a3d3378d2b1600011b3fcb: QuizA,59a3d3378d2b1600011b3fcb: QuizB,5b158c271e55760001ba21b7: QuizA,5b158c271e55760001ba21b7: QuizB
0,iconoclastic,iconoclastic,iconoclastic,iconoclastic,meritless,meritless,,,iconoclastic,iconoclastic,meritless,meritless,,,meretricious,meretricious,iconoclastic,iconoclastic,iconoclastic,iconoclastic
1,head,head,,,eye,eye,tongue,tongue,head,head,,,,,knee,knee,head,head,tongue,tongue
2,,,,,,,,,gibberellins,gibberellins,,,,,pistills,pistills,gibberellins,gibberellins,,
3,,,,,,,,,Sound Level Meter,System Level Monitor,,,,,Service Lifecycle Management,Service Lifecycle Management,,,System Level Monitor,System Level Monitor
4,dubious,dubious,solvent,solvent,prosperous,prosperous,dubious,dubious,solvent,solvent,dubious,dubious,,,solvent,,dubious,dubious,dubious,dubious
5,,,,,genetic variation,genetic variation,,,genetic variation,genetic variation,,,,,genetic variation,genetic variation,genetic variation,genetic variation,genetic variation,genetic variation
6,Wash the wound with soap,Wash the wound with soap,,,Cover the wound,Cover the wound,,,Apply pressure on the wound with a clean cloth or bandage,Apply pressure on the wound with a clean cloth or bandage,Wash the wound with soap,Wash the wound with soap,,,Wash the wound with soap,Apply an antibiotic to the wound,Apply pressure on the wound with a clean cloth or bandage,Apply pressure on the wound with a clean cloth or bandage,Wash the wound with soap,Wash the wound with soap
7,sycophants,sycophants,sycophants,sycophants,benefactors,benefactors,sycophants,sycophants,benefactors,benefactors,benefactors,benefactors,sycophants,sycophants,benefactors,benefactors,benefactors,benefactors,sycophants,sycophants
8,systematic,systematic,systematic,systematic,shameless,shameless,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,aggressive,systematic,systematic,systematic,systematic,systematic
9,aluminum,aluminum,magnetite,magnetite,copper,copper,,,magnetite,magnetite,copper,copper,aluminum,aluminum,magnetite,magnetite,aluminum,aluminum,,copper
10,static,static,static,static,static,static,static,static,static,maladjusted,static,static,static,static,static,static,static,static,static,static
11,,,California condor,California condor,peregrine falcon,peregrine falcon,,,California condor,California condor,California condor,California condor,California condor,California condor,golden eagles,golden eagles,,,California condor,California condor
12,iconoclastic,iconoclastic,iconoclastic,iconoclastic,meritless,meritless,,,iconoclastic,iconoclastic,meritless,meritless,,,meretricious,meretricious,iconoclastic,iconoclastic,iconoclastic,iconoclastic
13,"iv, i, iii, v, ii","iv, i, iii, v, ii",,,"v, iv, iii, i, ii","v, iv, iii, i, ii","iv, i, iii, v, ii","iv, i, iii, v, ii","iv, i, iii, v, ii","iv, i, iii, v, ii","iv, i, iii, v, ii","iv, i, iii, v, ii","v, iv, iii, i, ii","v, iv, iii, i, ii","v, iv, iii, i, ii","v, iv, iii, i, ii","v, iv, iii, i, ii","v, iv, iii, i, ii","v, iv, iii, i, ii","v, iv, iii, i, ii"
14,,,,,,,,,gibberellins,gibberellins,,,,,pistills,pistills,gibberellins,gibberellins,,
15,False,False,,,True,True,False,False,False,False,True,True,True,True,False,False,True,True,False,False
16,,,,,,,,,Sound Level Meter,System Level Monitor,,,,,Service Lifecycle Management,Service Lifecycle Management,,,System Level Monitor,System Level Monitor
17,True,True,,,True,True,True,True,True,True,True,True,False,False,True,True,False,False,False,False
18,dubious,dubious,solvent,solvent,prosperous,prosperous,dubious,dubious,solvent,solvent,dubious,dubious,,,solvent,,dubious,dubious,dubious,dubious
19,,,,,,,,,reptiles,reptiles,,,,,mammals,mammals,,,birds,birds
20,,,,,genetic variation,genetic variation,,,genetic variation,genetic variation,,,,,genetic variation,genetic variation,genetic variation,genetic variation,genetic variation,genetic variation
21,Wash the wound with soap,Wash the wound with soap,,,Cover the wound,Cover the wound,,,Apply pressure on the wound with a clean cloth or bandage,Apply pressure on the wound with a clean cloth or bandage,Wash the wound with soap,Wash the wound with soap,,,Wash the wound with soap,Apply an antibiotic to the wound,Apply pressure on the wound with a clean cloth or bandage,Apply pressure on the wound with a clean cloth or bandage,Wash the wound with soap,Wash the wound with soap
22,obfuscate,obfuscate,obfuscate,obfuscate,,,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,,desiccate,,vituperate,obfuscate,illuminate
Insistent Answers,0,,0,,0,,0,,3,,0,,0,,6,,1,,2,
